subscription_id,date,account_id,account_name,plan,seats,mrr,cost,region
SUB-40061,2024-01-05,ACC-2011,Reyes Labs,Starter,5,145,50.75,North America
SUB-40062,2024-01-20,ACC-2022,Rossi Labs,Pro,1,99,34.65,Europe
SUB-40063,2024-01-22,ACC-2077,Reyes Co,Enterprise,14,11186,3915.1,LATAM
SUB-40064,2024-01-27,ACC-2065,Patel Group,Pro,20,1980,693,Europe
SUB-40065,2024-01-11,ACC-2074,Silva Digital,Starter,3,87,30.45,LATAM
SUB-40066,2024-01-26,ACC-2061,Brooks Inc,Business,15,3735,1307.25,North America
SUB-40067,2024-01-11,ACC-2109,Okafor Co,Business,13,3237,1132.95,LATAM
SUB-40068,2024-01-08,ACC-2032,Silva Labs,Business,15,3735,1307.25,LATAM
SUB-40069,2024-01-18,ACC-2025,Silva Group,Business,13,3237,1132.95,Europe
SUB-40070,2024-01-07,ACC-2066,Kim Co,Business,10,2490,871.5,North America
SUB-40071,2024-01-09,ACC-2094,Reyes Group,Pro,19,1881,658.35,LATAM
SUB-40072,2024-01-11,ACC-2068,Kim Inc,Starter,7,203,71.05,LATAM
SUB-40073,2024-01-22,ACC-2104,Cohen Labs,Starter,9,261,91.35,Europe
SUB-40074,2024-01-08,ACC-2111,Nguyen Group,Pro,11,1089,381.15,Europe
SUB-40075,2024-02-17,ACC-2030,Kim Inc,Starter,20,580,203,Europe
SUB-40076,2024-02-11,ACC-2065,Patel Group,Enterprise,1,799,279.65,APAC
SUB-40077,2024-02-05,ACC-2067,Patel Group,Business,1,249,87.15,Europe
SUB-40078,2024-02-24,ACC-2042,Silva Inc,Business,11,2739,958.65,LATAM
SUB-40079,2024-02-26,ACC-2098,Haddad Group,Pro,18,1782,623.7,APAC
SUB-40080,2024-02-22,ACC-2021,Patel Group,Pro,1,99,34.65,APAC
SUB-40081,2024-02-25,ACC-2096,Haddad Inc,Enterprise,1,799,279.65,Europe
SUB-40082,2024-02-07,ACC-2019,Haddad Co,Enterprise,18,14382,5033.7,Europe
SUB-40083,2024-02-16,ACC-2044,Rossi Co,Enterprise,3,2397,838.95,North America
SUB-40084,2024-02-05,ACC-2008,Kim Systems,Starter,8,232,81.2,LATAM
SUB-40085,2024-02-26,ACC-2110,Okafor Labs,Pro,7,693,242.55,Europe
SUB-40086,2024-02-07,ACC-2062,Brooks Co,Starter,2,58,20.3,APAC
SUB-40087,2024-02-18,ACC-2043,Kim Labs,Starter,7,203,71.05,Europe
SUB-40088,2024-02-23,ACC-2097,Haddad Labs,Starter,4,116,40.6,APAC
SUB-40089,2024-02-27,ACC-2082,Okafor Digital,Starter,16,464,162.4,North America
SUB-40090,2024-02-04,ACC-2035,Kim Systems,Enterprise,13,10387,3635.45,APAC
SUB-40091,2024-02-08,ACC-2022,Rossi Labs,Pro,11,1089,381.15,Europe
SUB-40092,2024-02-12,ACC-2027,Okafor Digital,Starter,1,29,10.15,APAC
SUB-40093,2024-02-20,ACC-2029,Nguyen Inc,Starter,5,145,50.75,Europe
SUB-40094,2024-02-11,ACC-2094,Reyes Group,Enterprise,14,11186,3915.1,Europe
SUB-40095,2024-02-24,ACC-2076,Cohen Group,Pro,14,1386,485.1,LATAM
SUB-40096,2024-02-14,ACC-2093,Garcia Systems,Starter,15,435,152.25,Europe
SUB-40097,2024-02-24,ACC-2069,Reyes Group,Starter,2,58,20.3,APAC
SUB-40098,2024-02-18,ACC-2092,Tanaka Group,Starter,11,319,111.65,LATAM
SUB-40099,2024-02-11,ACC-2030,Kim Inc,Enterprise,16,12784,4474.4,North America
SUB-40100,2024-02-16,ACC-2037,Okafor Group,Starter,3,87,30.45,APAC
SUB-40101,2024-02-26,ACC-2113,Patel Labs,Starter,3,87,30.45,LATAM
SUB-40102,2024-02-21,ACC-2003,Okafor Systems,Business,5,1245,435.75,Europe
SUB-40103,2024-02-26,ACC-2111,Nguyen Group,Starter,20,580,203,Europe
SUB-40104,2024-02-14,ACC-2030,Kim Inc,Starter,19,551,192.85,LATAM
SUB-40105,2024-02-20,ACC-2072,Nguyen Group,Enterprise,15,11985,4194.75,North America
SUB-40106,2024-02-24,ACC-2077,Reyes Co,Business,4,996,348.6,LATAM
SUB-40107,2024-02-23,ACC-2085,Haddad Group,Pro,6,594,207.9,Europe
SUB-40108,2024-02-05,ACC-2073,Haddad Inc,Business,3,747,261.45,North America
SUB-40109,2024-02-05,ACC-2104,Cohen Labs,Business,3,747,261.45,North America
SUB-40110,2024-02-03,ACC-2097,Haddad Labs,Business,10,2490,871.5,Europe
SUB-40111,2024-02-01,ACC-2041,Kim Inc,Pro,6,594,207.9,LATAM
SUB-40112,2024-02-14,ACC-2027,Okafor Digital,Starter,19,551,192.85,Europe
SUB-40113,2024-02-17,ACC-2090,Okafor Co,Enterprise,10,7990,2796.5,North America
SUB-40114,2024-02-17,ACC-2059,Haddad Group,Starter,8,232,81.2,Europe
SUB-40115,2024-02-10,ACC-2114,Haddad Labs,Business,18,4482,1568.7,Europe
SUB-40116,2024-02-19,ACC-2043,Kim Labs,Pro,14,1386,485.1,Europe
SUB-40117,2024-02-12,ACC-2017,Haddad Co,Pro,11,1089,381.15,Europe
SUB-40118,2024-02-05,ACC-2098,Haddad Group,Starter,12,348,121.8,Europe
SUB-40119,2024-02-17,ACC-2113,Patel Labs,Pro,2,198,69.3,APAC
SUB-40120,2024-02-25,ACC-2056,Silva Group,Pro,16,1584,554.4,APAC
SUB-40121,2024-02-23,ACC-2008,Kim Systems,Starter,5,145,50.75,APAC
SUB-40122,2024-02-15,ACC-2055,Garcia Co,Starter,6,174,60.9,LATAM
SUB-40123,2024-02-08,ACC-2086,Brooks Inc,Pro,4,396,138.6,APAC
SUB-40124,2024-02-14,ACC-2067,Patel Group,Enterprise,3,2397,838.95,APAC
SUB-40125,2024-02-11,ACC-2079,Haddad Systems,Enterprise,2,1598,559.3,LATAM
SUB-40126,2024-02-24,ACC-2113,Patel Labs,Enterprise,3,2397,838.95,LATAM
SUB-40127,2024-02-17,ACC-2049,Okafor Systems,Business,19,4731,1655.85,APAC
SUB-40128,2024-02-20,ACC-2083,Silva Co,Enterprise,8,6392,2237.2,North America
SUB-40129,2024-02-14,ACC-2087,Cohen Systems,Pro,12,1188,415.8,LATAM
SUB-40130,2024-02-16,ACC-2003,Okafor Systems,Enterprise,15,11985,4194.75,Europe
SUB-40131,2024-02-24,ACC-2017,Haddad Co,Enterprise,8,6392,2237.2,LATAM
SUB-40132,2024-02-21,ACC-2008,Kim Systems,Starter,18,522,182.7,APAC
SUB-40133,2024-02-26,ACC-2102,Haddad Inc,Business,5,1245,435.75,APAC
SUB-40134,2024-02-17,ACC-2012,Okafor Group,Pro,13,1287,450.45,LATAM
SUB-40135,2024-02-03,ACC-2103,Silva Labs,Starter,16,464,162.4,North America
SUB-40136,2024-02-02,ACC-2094,Reyes Group,Enterprise,14,11186,3915.1,APAC
SUB-40137,2024-02-04,ACC-2013,Kim Co,Enterprise,5,3995,1398.25,Europe
SUB-40138,2024-02-16,ACC-2007,Silva Labs,Business,16,3984,1394.4,LATAM
SUB-40139,2024-02-20,ACC-2111,Nguyen Group,Starter,14,406,142.1,LATAM
SUB-40140,2024-02-15,ACC-2043,Kim Labs,Enterprise,20,15980,5593,North America
SUB-40141,2024-02-23,ACC-2054,Kim Co,Pro,2,198,69.3,LATAM
SUB-40142,2024-02-27,ACC-2045,Cohen Systems,Starter,5,145,50.75,Europe
SUB-40143,2024-02-12,ACC-2020,Cohen Inc,Pro,17,1683,589.05,North America
SUB-40144,2024-02-08,ACC-2019,Haddad Co,Starter,8,232,81.2,North America
SUB-40145,2024-03-14,ACC-2093,Garcia Systems,Enterprise,5,3995,1398.25,North America
SUB-40146,2024-03-07,ACC-2077,Reyes Co,Business,2,498,174.3,North America
SUB-40147,2024-03-27,ACC-2013,Kim Co,Enterprise,20,15980,5593,LATAM
SUB-40148,2024-03-11,ACC-2119,Cohen Systems,Enterprise,15,11985,4194.75,North America
SUB-40149,2024-03-08,ACC-2117,Patel Group,Business,7,1743,610.05,LATAM
SUB-40150,2024-03-26,ACC-2086,Brooks Inc,Enterprise,16,12784,4474.4,APAC
SUB-40151,2024-03-01,ACC-2109,Okafor Co,Starter,12,348,121.8,North America
SUB-40152,2024-03-12,ACC-2105,Nguyen Co,Starter,19,551,192.85,Europe
SUB-40153,2024-03-20,ACC-2090,Okafor Co,Starter,1,29,10.15,North America
SUB-40154,2024-03-15,ACC-2045,Cohen Systems,Pro,19,1881,658.35,North America
SUB-40155,2024-03-09,ACC-2073,Haddad Inc,Business,6,1494,522.9,APAC
SUB-40156,2024-03-06,ACC-2086,Brooks Inc,Pro,17,1683,589.05,North America
SUB-40157,2024-03-08,ACC-2078,Brooks Labs,Enterprise,18,14382,5033.7,LATAM
SUB-40158,2024-03-17,ACC-2081,Haddad Group,Starter,6,174,60.9,Europe
SUB-40159,2024-03-07,ACC-2056,Silva Group,Enterprise,11,8789,3076.15,North America
SUB-40160,2024-03-02,ACC-2088,Tanaka Labs,Business,8,1992,697.2,North America
SUB-40161,2024-03-16,ACC-2039,Rossi Co,Pro,2,198,69.3,Europe
SUB-40162,2024-03-15,ACC-2067,Patel Group,Starter,5,145,50.75,APAC
SUB-40163,2024-03-18,ACC-2008,Kim Systems,Business,17,4233,1481.55,LATAM
SUB-40164,2024-03-07,ACC-2002,Haddad Group,Enterprise,1,799,279.65,Europe
SUB-40165,2024-03-04,ACC-2070,Kim Co,Pro,7,693,242.55,APAC
SUB-40166,2024-03-04,ACC-2030,Kim Inc,Business,11,2739,958.65,North America
SUB-40167,2024-03-02,ACC-2071,Brooks Digital,Starter,13,377,131.95,APAC
SUB-40168,2024-03-23,ACC-2038,Kim Labs,Starter,13,377,131.95,Europe
SUB-40169,2024-03-25,ACC-2016,Kim Group,Pro,13,1287,450.45,North America
SUB-40170,2024-03-20,ACC-2022,Rossi Labs,Pro,19,1881,658.35,Europe
SUB-40171,2024-03-27,ACC-2015,Haddad Inc,Business,14,3486,1220.1,LATAM
SUB-40172,2024-03-15,ACC-2058,Haddad Group,Business,4,996,348.6,North America
SUB-40173,2024-03-04,ACC-2059,Haddad Group,Starter,11,319,111.65,Europe
SUB-40174,2024-03-11,ACC-2031,Tanaka Group,Starter,4,116,40.6,Europe
SUB-40175,2024-03-17,ACC-2037,Okafor Group,Business,17,4233,1481.55,LATAM
SUB-40176,2024-03-08,ACC-2010,Cohen Group,Business,18,4482,1568.7,Europe
SUB-40177,2024-03-21,ACC-2056,Silva Group,Pro,5,495,173.25,North America
SUB-40178,2024-03-10,ACC-2088,Tanaka Labs,Business,11,2739,958.65,APAC
SUB-40179,2024-03-26,ACC-2102,Haddad Inc,Pro,17,1683,589.05,Europe
SUB-40180,2024-03-08,ACC-2066,Kim Co,Enterprise,19,15181,5313.35,APAC
SUB-40181,2024-03-18,ACC-2020,Cohen Inc,Business,13,3237,1132.95,North America
SUB-40182,2024-03-10,ACC-2090,Okafor Co,Starter,14,406,142.1,Europe
SUB-40183,2024-03-02,ACC-2054,Kim Co,Business,6,1494,522.9,APAC
SUB-40184,2024-03-04,ACC-2055,Garcia Co,Starter,16,464,162.4,Europe
SUB-40185,2024-03-23,ACC-2033,Reyes Group,Enterprise,8,6392,2237.2,LATAM
SUB-40186,2024-03-07,ACC-2065,Patel Group,Pro,6,594,207.9,North America
SUB-40187,2024-03-25,ACC-2058,Haddad Group,Pro,2,198,69.3,APAC
SUB-40188,2024-03-19,ACC-2025,Silva Group,Pro,12,1188,415.8,LATAM
SUB-40189,2024-03-26,ACC-2022,Rossi Labs,Enterprise,14,11186,3915.1,APAC
SUB-40190,2024-03-24,ACC-2043,Kim Labs,Pro,12,1188,415.8,APAC
SUB-40191,2024-03-16,ACC-2110,Okafor Labs,Business,12,2988,1045.8,APAC
SUB-40192,2024-03-03,ACC-2044,Rossi Co,Business,10,2490,871.5,APAC
SUB-40193,2024-03-15,ACC-2040,Cohen Co,Starter,20,580,203,APAC
SUB-40194,2024-03-02,ACC-2041,Kim Inc,Pro,20,1980,693,Europe
SUB-40195,2024-03-01,ACC-2057,Patel Digital,Business,8,1992,697.2,Europe
SUB-40196,2024-03-06,ACC-2070,Kim Co,Enterprise,13,10387,3635.45,LATAM
SUB-40197,2024-03-12,ACC-2017,Haddad Co,Business,7,1743,610.05,APAC
SUB-40198,2024-03-25,ACC-2112,Tanaka Group,Pro,10,990,346.5,LATAM
SUB-40199,2024-03-06,ACC-2101,Garcia Digital,Business,3,747,261.45,APAC
SUB-40200,2024-03-24,ACC-2008,Kim Systems,Pro,3,297,103.95,LATAM
SUB-40201,2024-03-26,ACC-2066,Kim Co,Pro,14,1386,485.1,Europe
SUB-40202,2024-03-21,ACC-2019,Haddad Co,Pro,4,396,138.6,APAC
SUB-40203,2024-03-12,ACC-2035,Kim Systems,Enterprise,5,3995,1398.25,North America
SUB-40204,2024-03-23,ACC-2096,Haddad Inc,Business,19,4731,1655.85,APAC
SUB-40205,2024-03-02,ACC-2106,Tanaka Systems,Business,8,1992,697.2,Europe
SUB-40206,2024-03-03,ACC-2007,Silva Labs,Business,14,3486,1220.1,North America
SUB-40207,2024-03-20,ACC-2055,Garcia Co,Enterprise,11,8789,3076.15,LATAM
SUB-40208,2024-03-07,ACC-2010,Cohen Group,Pro,11,1089,381.15,Europe
SUB-40209,2024-03-19,ACC-2097,Haddad Labs,Starter,10,290,101.5,North America
SUB-40210,2024-03-25,ACC-2010,Cohen Group,Enterprise,13,10387,3635.45,APAC
SUB-40211,2024-03-09,ACC-2092,Tanaka Group,Starter,1,29,10.15,Europe
SUB-40212,2024-03-24,ACC-2075,Brooks Group,Enterprise,19,15181,5313.35,APAC
SUB-40213,2024-03-06,ACC-2057,Patel Digital,Starter,13,377,131.95,LATAM
SUB-40214,2024-03-01,ACC-2079,Haddad Systems,Starter,16,464,162.4,Europe
SUB-40215,2024-03-19,ACC-2041,Kim Inc,Pro,12,1188,415.8,Europe
SUB-40216,2024-03-18,ACC-2040,Cohen Co,Starter,3,87,30.45,Europe
SUB-40217,2024-03-08,ACC-2099,Reyes Co,Business,5,1245,435.75,Europe
SUB-40218,2024-03-09,ACC-2059,Haddad Group,Enterprise,1,799,279.65,APAC
SUB-40219,2024-03-25,ACC-2073,Haddad Inc,Business,11,2739,958.65,LATAM
SUB-40220,2024-03-10,ACC-2045,Cohen Systems,Enterprise,4,3196,1118.6,LATAM
SUB-40221,2024-03-01,ACC-2032,Silva Labs,Pro,13,1287,450.45,LATAM
SUB-40222,2024-03-25,ACC-2107,Okafor Group,Business,12,2988,1045.8,LATAM
SUB-40223,2024-04-26,ACC-2082,Okafor Digital,Starter,4,116,40.6,APAC
SUB-40224,2024-04-14,ACC-2042,Silva Inc,Enterprise,14,11186,3915.1,LATAM
SUB-40225,2024-04-09,ACC-2023,Garcia Systems,Enterprise,7,5593,1957.55,North America
SUB-40226,2024-04-07,ACC-2022,Rossi Labs,Starter,17,493,172.55,APAC
SUB-40227,2024-04-12,ACC-2055,Garcia Co,Pro,6,594,207.9,APAC
SUB-40228,2024-04-11,ACC-2084,Silva Digital,Business,7,1743,610.05,APAC
SUB-40229,2024-04-04,ACC-2002,Haddad Group,Pro,8,792,277.2,LATAM
SUB-40230,2024-04-17,ACC-2031,Tanaka Group,Business,10,2490,871.5,APAC
SUB-40231,2024-04-18,ACC-2037,Okafor Group,Pro,3,297,103.95,North America
SUB-40232,2024-04-24,ACC-2058,Haddad Group,Business,15,3735,1307.25,Europe
SUB-40233,2024-04-04,ACC-2064,Okafor Inc,Enterprise,7,5593,1957.55,APAC
SUB-40234,2024-04-16,ACC-2032,Silva Labs,Business,10,2490,871.5,Europe
SUB-40235,2024-04-07,ACC-2107,Okafor Group,Pro,3,297,103.95,LATAM
SUB-40236,2024-04-02,ACC-2026,Kim Digital,Starter,4,116,40.6,APAC
SUB-40237,2024-04-27,ACC-2061,Brooks Inc,Pro,6,594,207.9,North America
SUB-40238,2024-04-01,ACC-2018,Reyes Group,Starter,5,145,50.75,Europe
SUB-40239,2024-04-22,ACC-2076,Cohen Group,Starter,2,58,20.3,North America
SUB-40240,2024-04-03,ACC-2018,Reyes Group,Business,2,498,174.3,Europe
SUB-40241,2024-04-02,ACC-2087,Cohen Systems,Starter,16,464,162.4,Europe
SUB-40242,2024-04-19,ACC-2055,Garcia Co,Starter,9,261,91.35,LATAM
SUB-40243,2024-04-25,ACC-2004,Silva Digital,Starter,10,290,101.5,Europe
SUB-40244,2024-04-25,ACC-2038,Kim Labs,Pro,7,693,242.55,LATAM
SUB-40245,2024-04-12,ACC-2059,Haddad Group,Pro,13,1287,450.45,LATAM
SUB-40246,2024-04-11,ACC-2020,Cohen Inc,Enterprise,4,3196,1118.6,North America
SUB-40247,2024-04-09,ACC-2087,Cohen Systems,Enterprise,15,11985,4194.75,LATAM
SUB-40248,2024-04-02,ACC-2118,Tanaka Co,Starter,19,551,192.85,APAC
SUB-40249,2024-04-09,ACC-2112,Tanaka Group,Enterprise,18,14382,5033.7,Europe
SUB-40250,2024-04-08,ACC-2052,Rossi Digital,Business,3,747,261.45,North America
SUB-40251,2024-04-27,ACC-2013,Kim Co,Enterprise,18,14382,5033.7,LATAM
SUB-40252,2024-04-12,ACC-2089,Garcia Digital,Starter,4,116,40.6,APAC
SUB-40253,2024-04-26,ACC-2094,Reyes Group,Starter,10,290,101.5,APAC
SUB-40254,2024-04-18,ACC-2040,Cohen Co,Starter,7,203,71.05,Europe
SUB-40255,2024-04-05,ACC-2000,Reyes Group,Business,4,996,348.6,North America
SUB-40256,2024-04-26,ACC-2013,Kim Co,Starter,9,261,91.35,LATAM
SUB-40257,2024-04-03,ACC-2001,Cohen Digital,Enterprise,15,11985,4194.75,Europe
SUB-40258,2024-04-15,ACC-2084,Silva Digital,Pro,6,594,207.9,APAC
SUB-40259,2024-04-07,ACC-2019,Haddad Co,Starter,11,319,111.65,Europe
SUB-40260,2024-04-11,ACC-2070,Kim Co,Business,2,498,174.3,Europe
SUB-40261,2024-04-11,ACC-2094,Reyes Group,Enterprise,11,8789,3076.15,APAC
SUB-40262,2024-04-01,ACC-2035,Kim Systems,Pro,14,1386,485.1,APAC
SUB-40263,2024-04-22,ACC-2022,Rossi Labs,Business,8,1992,697.2,APAC
SUB-40264,2024-04-14,ACC-2085,Haddad Group,Business,3,747,261.45,APAC
SUB-40265,2024-04-23,ACC-2051,Rossi Labs,Starter,13,377,131.95,APAC
SUB-40266,2024-04-07,ACC-2065,Patel Group,Enterprise,3,2397,838.95,North America
SUB-40267,2024-04-22,ACC-2023,Garcia Systems,Starter,17,493,172.55,LATAM
SUB-40268,2024-04-05,ACC-2050,Tanaka Digital,Enterprise,11,8789,3076.15,APAC
SUB-40269,2024-04-18,ACC-2015,Haddad Inc,Starter,2,58,20.3,Europe
SUB-40270,2024-04-24,ACC-2107,Okafor Group,Starter,14,406,142.1,LATAM
SUB-40271,2024-04-14,ACC-2042,Silva Inc,Starter,16,464,162.4,Europe
SUB-40272,2024-04-01,ACC-2022,Rossi Labs,Pro,4,396,138.6,APAC
SUB-40273,2024-04-05,ACC-2117,Patel Group,Business,16,3984,1394.4,Europe
SUB-40274,2024-04-25,ACC-2050,Tanaka Digital,Starter,7,203,71.05,North America
SUB-40275,2024-04-07,ACC-2104,Cohen Labs,Enterprise,11,8789,3076.15,LATAM
SUB-40276,2024-04-12,ACC-2119,Cohen Systems,Enterprise,12,9588,3355.8,APAC
SUB-40277,2024-04-21,ACC-2059,Haddad Group,Pro,15,1485,519.75,LATAM
SUB-40278,2024-04-13,ACC-2025,Silva Group,Pro,2,198,69.3,Europe
SUB-40279,2024-04-21,ACC-2049,Okafor Systems,Enterprise,16,12784,4474.4,Europe
SUB-40280,2024-04-14,ACC-2116,Brooks Inc,Pro,18,1782,623.7,Europe
SUB-40281,2024-04-14,ACC-2100,Silva Group,Pro,13,1287,450.45,North America
SUB-40282,2024-04-09,ACC-2107,Okafor Group,Pro,2,198,69.3,Europe
SUB-40283,2024-04-21,ACC-2061,Brooks Inc,Business,14,3486,1220.1,Europe
SUB-40284,2024-04-13,ACC-2021,Patel Group,Enterprise,15,11985,4194.75,North America
SUB-40285,2024-04-09,ACC-2110,Okafor Labs,Enterprise,17,13583,4754.05,North America
SUB-40286,2024-04-26,ACC-2044,Rossi Co,Business,16,3984,1394.4,APAC
SUB-40287,2024-04-01,ACC-2025,Silva Group,Enterprise,9,7191,2516.85,LATAM
SUB-40288,2024-04-23,ACC-2061,Brooks Inc,Business,19,4731,1655.85,LATAM
SUB-40289,2024-04-06,ACC-2013,Kim Co,Business,18,4482,1568.7,LATAM
SUB-40290,2024-04-21,ACC-2098,Haddad Group,Starter,7,203,71.05,LATAM
SUB-40291,2024-04-15,ACC-2048,Silva Inc,Enterprise,6,4794,1677.9,APAC
SUB-40292,2024-04-08,ACC-2037,Okafor Group,Starter,11,319,111.65,Europe
SUB-40293,2024-04-27,ACC-2035,Kim Systems,Business,11,2739,958.65,North America
SUB-40294,2024-05-10,ACC-2086,Brooks Inc,Starter,12,348,121.8,LATAM
SUB-40295,2024-05-01,ACC-2007,Silva Labs,Pro,16,1584,554.4,Europe
SUB-40296,2024-05-09,ACC-2044,Rossi Co,Business,2,498,174.3,LATAM
SUB-40297,2024-05-01,ACC-2046,Okafor Group,Pro,3,297,103.95,LATAM
SUB-40298,2024-05-07,ACC-2077,Reyes Co,Business,16,3984,1394.4,Europe
SUB-40299,2024-05-27,ACC-2032,Silva Labs,Starter,1,29,10.15,LATAM
SUB-40300,2024-05-23,ACC-2039,Rossi Co,Pro,18,1782,623.7,North America
SUB-40301,2024-05-18,ACC-2086,Brooks Inc,Enterprise,5,3995,1398.25,North America
SUB-40302,2024-05-19,ACC-2053,Tanaka Systems,Business,19,4731,1655.85,Europe
SUB-40303,2024-05-23,ACC-2019,Haddad Co,Pro,3,297,103.95,LATAM
SUB-40304,2024-05-19,ACC-2069,Reyes Group,Enterprise,10,7990,2796.5,Europe
SUB-40305,2024-05-27,ACC-2004,Silva Digital,Starter,4,116,40.6,LATAM
SUB-40306,2024-05-19,ACC-2008,Kim Systems,Enterprise,18,14382,5033.7,Europe
